,Word,Pinyin,OtherPinyin,Level,First Translation,Other Translations
1688,提,tí,,5,to carry (hanging down from the hand),"to lift, to put forward, to mention, to raise (an issue), upwards character stroke, lifting brush stroke (in painting), scoop for measuring liquid"
1717,投,tóu,,5,to cast,"to send, to throw oneself (into the river etc), to seek refuge, to place oneself into the hands of"
412,頭,tóu,,3,head,"hair style, the top, end, beginning or end, a stub, remnant, chief, boss, side, aspect, first, leading, classifier for pigs or livestock, suffix for nouns, CL:個|个[ge4]"
5893,牠,tā,,7,it (used for animals),
2,他,tā,,1,he or him,"(used for either sex when the sex is unknown or unimportant), (used before sb's name for emphasis), (used as a meaningless mock object), other, another"
3462,塌,tā,,6,to collapse,"to droop, to settle down"
1678,它,tā,,5,it,
5,他們,tāmen,,1,they,
1679,它們,tāmen,,5,they (for inanimate objects),
5977,統制,tǒngzhì,,7,to control,
3510,統治,tǒngzhì,,6,to rule (a country),"to govern, rule, regime"
1721,土,tǔ,,5,Tu (ethnic group),"earth, dust, clay, local, indigenous, crude opium, unsophisticated, one of the eight ancient musical instruments 八音[ba1 yin1], surname Tu"
3524,吐,tǔ,,6,to spit,"to put, to say, to vomit, to throw up"
6030,旺季,wàngjì,,7,busy season,"peak period, see also 淡季[dan4 ji4]"
1744,忘記,wàngjì,,5,to forget,
638,完,wán,,4,to finish,"to be over, whole, complete, entire"
220,玩,wán,,2,Taiwan pr. [wan4],variant of 玩[wan2]
6059,文明,wénmíng,,7,civilized,"civilization, culture, CL:個|个[ge4]"
6062,聞名,wénmíng,,7,well-known,"famous, renowned, eminent"
3603,霧,wù,,6,fog,"mist, CL:場|场[chang2],陣|阵[zhen4]"
3599,勿,wù,,6,do not,
3539,哇,wā,,6,Wow!,"sound of child's crying, sound of vomiting, replaces 啊[a5] when following the vowel ""u"" or ""ao"""
3540,挖,wā,,6,to dig,"to excavate, to scoop out"
6069,汙染,wūrǎn,,7,,
3587,汙,wūrǎn,,6,dirty,"filthy, foul, corrupt, to smear, to defile, dirt, filth, variant of 污"
6020,挽,wǎn,,7,to draw (a cart),"to lament the dead, variant of 挽[wan3]"
454,碗,wǎn,,3,bowl,"cup, variant of 碗[wan3], CL:隻|只[zhi1],個|个[ge4]"
1800,項,xiàng,,5,back of neck,"item, thing, term (in a mathematical formula), sum (of money), classifier for principles, items, clauses, tasks, research projects etc, surname Xiang"
722,向,xiàng,,4,direction,"orientation, to face, to turn toward, to, towards, shortly before, formerly, variant of 向[xiang4]"
3653,巷,xiàng,,6,lane,alley
3638,現金,xiànjīn,,6,cash,
6125,現今,xiànjīn,,7,now,"nowadays, modern"
3631,嫌,xián,,6,to dislike,"suspicion, resentment, enmity, abbr. for 嫌犯[xian2 fan4], criminal suspect"
3630,閒,xián,,6,unoccupied,"leisure, free time, variant of 間|间[jian1], variant of 間|间[jian4], variant of 閑|闲, idle"
825,鹹,xián,,4,salted,"salty, stingy, miserly"
3617,蝦,xiā,,6,shrimp,"prawn, see 蝦蟆|虾蟆[ha2 ma5]"
3616,瞎,xiā,,6,blind,"groundlessly, foolishly, to no purpose"
6219,宣示,xuānshì,,7,to vow,to pledge
6220,宣誓,xuānshì,,7,to swear an oath (of office),to make a vow
1776,細,xì,,5,thin or slender,"finely particulate, thin and soft, fine, delicate, trifling, (of a sound) quiet, frugal"
1778,戲,xì,,5,trick,"drama, play, show, CL:出[chu1],場|场[chang3],臺|台[tai2]"
3697,形成,xíngchéng,,6,to form,to take shape
3695,行程,xíngchéng,,6,journey,"course of a journey, distance traveled, trajectory, itinerary, route, course (of history), (Tw) (computing) process"
6193,刑事,xíngshì,,7,criminal,penal
3698,形式,xíngshì,,6,outer appearance,"form, shape, formality, CL:個|个[ge4]"
6194,形勢,xíngshì,,7,circumstances,"situation, terrain, CL:個|个[ge4]"
6195,形態,xíngtài,,7,shape,"form, pattern, morphology"
6198,型態,xíngtài,,7,form,"shape, type, style, pattern"
1814,新生,xīnshēng,,5,new,"newborn, emerging, nascent, rebirth, regeneration, new life, new student"
3682,心聲,xīnshēng,,6,thoughts,"feelings, aspirations, heartfelt wishes, inner voice"
6176,辛酸,xīnsuān,,7,pungent (taste),"bitter, fig. sad, miserable"
6171,心酸,xīnsuān,,7,to feel sad,
804,圓,yuán,,4,circle,"round, circular, spherical, (of the moon) full, unit of Chinese currency (Yuan), tactful, to justify"
261,元,yuán,,2,the Yuan or Mongol dynasty (1279-1368),"currency unit (esp. Chinese yuan), first, original, primary, fundamental, constituent, part, era (of a reign), meta- (prefix), (math.) argument, variable, (Tw) (geology) eon, surname Yuan"
6414,原形,yuánxíng,,7,original shape,"true appearance (under the disguise), true character"
3859,圓形,yuánxíng,,6,round,circular
151,月,yuè,,2,moon,"month, monthly, CL:個|个[ge4],輪|轮[lun2]"
1928,越,yuè,,5,generic word for peoples or states of south China or south Asia at different historical periods,"to exceed, to climb over, to surpass, the more... the more, abbr. for Vietnam 越南"
258,藥,yào,,2,medicine,"drug, substance used for a specific purpose (e.g. poisoning, explosion, fermenting), to poison, CL:種|种[zhong3],服[fu4],味[wei4]"
267,要,yào,,2,to demand,"to request, to coerce, important, vital, to want, to ask for, will, going to (as future auxiliary), may, must, (used in a comparison) must be, probably, if"
832,鹽,yán,,4,salt,CL:粒[li4]
3726,沿,yán,,6,along,"to follow (a line, tradition etc), to carry on, to trim (a border with braid, tape etc), border, edge"
3740,搖,yáo,,6,to shake,"to rock, to row, to crank, surname Yao"
6281,窯,yáo,,7,kiln,"oven, coal pit, cave dwelling, (coll.) brothel"
1864,頁,yè,,5,page,leaf
466,夜,yè,,4,night,variant of 夜[ye4]
3787,億,yì,,6,100 million,
6316,亦,yì,,7,also,
6322,抑制,yìzhì,,7,to inhibit,"to keep down, to suppress"
3786,意志,yìzhì,,6,will,"willpower, determination, CL:個|个[ge4]"
6301,咦,yí,,7,expression of surprise,
3768,移,yí,,6,to move,"to shift, to change, to alter, to remove"
3772,儀器,yíqì,,6,instrument,"apparatus, CL:臺|台[tai2]"
6307,遺棄,yíqì,,7,to leave,to abandon
6372,鈾,yòu,,7,uranium (chemistry),Taiwan pr. [you4]
675,又,yòu,,4,(once) again,"also, both... and..., and yet, (used for emphasis) anyway"
1917,玉,yù,,5,jade,
6400,愈,yù,,7,to heal,variant of 愈[yu4]
3845,預訂,yùdìng,,6,to place an order,to book ahead
3844,預定,yùdìng,,6,to schedule in advance,
201,魚,yú,,2,fish,"surname Yu, CL:條|条[tiao2],尾[wei3]"
6391,逾,yú,,7,to exceed,"to go beyond, to transcend, to cross over, to jump over, variant of 逾[yu2]"
6390,于,yú,,7,in,"at, to, from, by, than, out of, Taiwan pr. [Yu2], (literary) Oh!, Ah!, surname Yu"
3722,壓,yā,,6,to press,"to push down, to keep under (control), pressure, see 壓根兒|压根儿[ya4 gen1 r5]"
1842,呀,yā,,5,"(particle equivalent to 啊 after a vowel, expressing surprise or doubt)",
1843,鴨,yā,,5,duck,"(slang) male prostitute, CL:隻|只[zhi1]"
6314,倚,yǐ,,7,to lean on,to rely upon
3774,乙,yǐ,,6,second of the ten Heavenly Stems 十天干[shi2 tian1 gan1],"second in order, letter ""B"" or Roman ""II"" in list ""A, B, C"", or ""I, II, III"" etc, second party (in legal contract, usually 乙方[yi3 fang1], as opposed to 甲方[jia3 fang1]), ethyl, bent, winding, radical in Chinese characters (Kangxi radical 5), ancient Chinese compass point: 105°, turning stroke (in Chinese characters), see also 折[zhe2]"
3834,有力,yǒulì,,6,powerful,"forceful, vigorous"
3835,有利,yǒulì,,6,advantageous,"to have advantages, favorable"
6386,有意,yǒuyì,,7,to intend,"intentionally, interested in"
6385,有益,yǒuyì,,7,useful,"beneficial, profitable"
1914,友誼,yǒuyì,,5,companionship,"fellowship, friendship"
1499,噢,yǔ,,5,Oh!,
1916,與,yǔ,,5,and,"to give, together with, to take part in, variant of 歟|欤[yu2]"
4009,壯,zhuàng,,6,"Zhuang ethnic group of Guangxi, the PRC's second most numerous ethnic group","to strengthen, strong, robust"
4010,撞,zhuàng,,6,to knock against,"to bump into, to run into, to meet by accident"
4015,捉,zhuō,,6,to clutch,"to grab, to capture"
350,桌,zhuō,,3,old variant of 桌[zhuo1],
253,站,zhàn,,2,station,"to stand, to halt, to stop, branch of a company or organization, website"
3899,占,zhàn,,6,to observe,"to divine, to take possession of, to occupy, to take up, variant of 占[zhan4]"
235,這裡,zhèlǐ,,2,here,
1952,這裏,zhèlǐ,,5,variant of 這裡|这里[zhe4 li3],
3922,震動,zhèndòng,,6,to shake,"to vibrate, to strongly affect, shock, vibration"
6485,振動,zhèndòng,,7,to vibrate,"to shake, vibration"
3938,證件,zhèngjiàn,,6,certificate,"papers, credentials, document, ID"
6503,政見,zhèngjiàn,,7,political views,
6553,制訂,zhìdìng,,7,to work out,to formulate
3958,制定,zhìdìng,,6,to draw up,to formulate
6548,致力,zhìlì,,7,to work for,to devote one's efforts to
6551,智力,zhìlì,,7,intelligence,intellect
1979,植物,zhíwù,,5,plant,"vegetation, CL:種|种[zhong3]"
6521,職務,zhíwù,,7,post,"position, job, duties"
6610,駐,zhù,,7,to halt,"to stay, to be stationed (of troops, diplomats etc)"
53,住,zhù,,1,to live,"to dwell, to stay, to reside, to stop, (suffix indicating firmness, steadiness, or coming to a halt)"
6492,爭氣,zhēngqì,,7,to work hard for sth,"to resolve on improvement, determined not to fall short"
6489,蒸氣,zhēngqì,,7,vapor,steam
1971,支,zhī,,5,to support,"to sustain, to erect, to raise, branch, division, to draw money, classifier for rods such as pens and guns, for army divisions and for songs or compositions, surname Zhi"
609,枝,zhī,,4,branch,"classifier for sticks, rods, pencils etc"
610,隻,zhī,,4,"classifier for birds and certain animals, one of a pair, some utensils, vessels etc",
740,中心,zhōngxīn,,4,center,"heart, core, CL:個|个[ge4]"
6564,衷心,zhōngxīn,,7,heartfelt,"wholehearted, cordial"
3981,粥,zhōu,,6,congee,"gruel, porridge, see 葷粥|荤粥[Xun1 yu4], CL:碗[wan3]"
3979,州,zhōu,,6,prefecture,"(old) province, (old) administrative division, state (e.g. of US), oblast (Russia), canton (Switzerland)"
614,豬,zhū,,4,hog,"pig, swine, CL:口[kou3],頭|头[tou2]"
6584,株,zhū,,7,tree trunk,"stump (tree root), a plant, classifier for trees or plants, strain (biology), to involve others (in shady business)"
173,紙,zhǐ,,2,paper,"classifier for documents, letter etc, CL:張|张[zhang1],沓[da2]"
131,只,zhǐ,,1,"classifier for birds and certain animals, one of a pair, some utensils, vessels etc",
3955,指示,zhǐshì,,6,to point out,"to indicate, to instruct, directives, instructions, CL:個|个[ge4]"
1981,只是,zhǐshì,,5,merely,"simply, only, but"
3970,腫,zhǒng,,6,to swell,"swelling, swollen"
