,Word,Pinyin,OtherPinyin,Level,First Translation,Other Translations
1050,倒,dǎo,,5,to fall,"to collapse, to lie horizontally, to overthrow, to fail, to go bankrupt, to change (trains or buses), to move around, to resell at a profit, to place upside down, to invert, to pour, to throw out, to move backwards, however, actually, as a matter of fact, contrary to expectation"
1051,島,dǎo,,5,island,"CL:個|个[ge4],座[zuo4]"
2401,賭,dǔ,,6,to bet,to gamble
4488,堵,dǔ,,7,to stop up,"(to feel) stifled or suffocated, wall, classifier for walls"
1122,犯,fàn,,5,to violate,"to offend, to assault, criminal, crime, to make a mistake, recurrence (of mistake or sth bad)"
126,飯,fàn,,1,food,"cuisine, cooked rice, meal, CL:碗[wan3],頓|顿[dun4]"
2466,廢氣,fèiqì,,6,exhaust gas,"industrial waste gas, steam"
4579,廢棄,fèiqì,,7,to discard,"to abandon (old ways), to invalidate"
4604,糞,fèn,,7,manure,dung
1133,份,fèn,,5,"classifier for gifts, newspaper, magazine, papers, reports, contracts etc",variant of 分[fen4]
2491,逢,féng,,6,to meet by chance,"to come across, (of a calendar event) to come along, (of an event) to fall on (a particular day), to fawn upon"
2492,縫,féng,,6,to sew,"to stitch, seam, crack, narrow slit, CL:道[dao4]"
2503,副,fù,,6,secondary,"auxiliary, deputy, assistant, vice-, classifier for pairs, sets of things & facial expressions, abbr. for 副詞|副词 adverb"
785,付,fù,,4,to pay,"to hand over to, classifier for pairs or sets of things, surname Fu"
2502,赴,fù,,6,to go,"to visit (e.g. another country), to attend (a banquet etc)"
2500,浮,fú,,6,to float,"superficial, floating, unstable, movable, provisional, temporary, transient, impetuous, hollow, inflated, to exceed, superfluous, excessive, surplus"
2499,扶,fú,,6,to support with the hand,"to help sb up, to support oneself by holding onto something, to help"
2498,幅,fú,,6,width,"roll, classifier for textiles or pictures"
1112,發覺,fājué,,5,to become aware,"to detect, to realize, to perceive"
4525,發掘,fājué,,7,to excavate,"to explore, (fig.) to unearth, to tap into"
2436,番,fān,,6,foreign (non-Chinese),"barbarian, classifier for occurrences (of an event, action or speech utterance), classifier for iterations: times, -fold (as in twofold etc), classifier for situations: kind, sort, surname Pan"
1117,翻,fān,,5,variant of 翻[fan1],
2429,發言,fāyán,,6,to make a speech,"statement, utterance, CL:個|个[ge4]"
4527,發炎,fāyán,,7,to become inflamed,inflammation
2488,瘋,fēng,,6,insane,"mad, wild"
199,風,fēng,,2,wind,"news, style, custom, manner, CL:陣|阵[zhen4],絲|丝[si1]"
1121,反應,fǎnyìng,,5,to react,"to respond, reaction, response, reply, chemical reaction, CL:個|个[ge4]"
2445,反映,fǎnyìng,,6,to mirror,"to reflect, mirror image, reflection, (fig.) to report, to make known, to render"
4536,法治,fǎzhì,,7,rule of law,to rule by law
4535,法制,fǎzhì,,7,made in France,
4764,灌,guàn,,7,to irrigate,"to pour, to install (software), to record (music)"
1201,罐,guàn,,5,variant of 罐[guan4],
117,貴,guì,,1,expensive,"noble, precious, (honorific) your"
2604,跪,guì,,6,to kneel,
2618,過度,guòdù,,6,excessive,"over-, excess, going too far, extravagant, intemperate, overdue"
2619,過渡,guòdù,,6,to cross over (by ferry),"transition, interim, caretaker (administration)"
1153,蓋,gài,,5,lid,"top, cover, canopy, to cover, to conceal, to build, surname Ge"
4654,鈣,gài,,7,calcium (chemistry),
2541,割,gē,,6,to cut,to cut apart
2542,擱,gē,,6,to place,"to put aside, to shelve, to bear, to stand, to endure"
1172,根,gēn,,5,root,"basis, classifier for long slender objects, e.g. cigarettes, guitar strings, radical (chemistry), CL:條|条[tiao2]"
284,跟,gēn,,2,heel,"to follow closely, to go with, (of a woman) to marry sb, with, compared with, to, towards, and (joining two nouns)"
4695,弓,gōng,,7,a bow (weapon),"to bend, to arch (one's back etc), surname Gong, CL:張|张[zhang1]"
4712,攻,gōng,,7,to attack,"to accuse, to study"
4697,工讀,gōngdú,,7,,
4713,攻讀,gōngdú,,7,to major (in a field),to study a specialty to obtain a higher degree
2549,工夫,gōngfu,,6,(old) laborer,"period of time (may be months, or mere seconds), spare time, skill, labor, effort"
1180,功夫,gōngfu,,5,skill,"art, kung fu, labor, effort"
4701,公會,gōnghuì,,7,guild,
2550,工會,gōnghuì,,6,labor union,"trade union, CL:個|个[ge4]"
1178,公克,gōngkè,,5,gram,
324,功課,gōngkè,,3,homework,"assignment, task, classwork, lesson, study, CL:門|门[men2]"
4711,功利,gōnglì,,7,utility,
2556,公立,gōnglì,,6,"public (e.g. school, hospital)",
2558,公式,gōngshì,,6,formula,
4704,公事,gōngshì,,7,public affairs,"official (matters, duties etc)"
2560,公元,gōngyuán,,6,CE (Common Era),"Christian Era, AD (Anno Domini)"
288,公園,gōngyuán,,3,park (for public recreation),"CL:個|个[ge4],座[zuo4]"
2569,鼓,gǔ,,6,drum,"to drum, to strike, to rouse, to bulge, to swell, old variant of 鼓[gu3], CL:通[tong4],面[mian4]"
1190,古,gǔ,,5,ancient,"old, paleo-, surname Gu"
1192,古蹟,gǔjī,,5,,
4732,古跡,gǔjī,,7,places of historic interest,"historical sites, CL:個|个[ge4]"
4866,患,huàn,,7,to suffer (from illness),"to contract (a disease), misfortune, trouble, danger, worry"
229,換,huàn,,2,to exchange,"to change (clothes etc), to substitute, to switch, to convert (currency)"
2690,化妝,huàzhuāng,,6,to put on makeup,
2691,化裝,huàzhuāng,,6,(of actors) to make up,to disguise oneself
4884,繪畫,huìhuà,,7,drawing,painting
1250,會話,huìhuà,,5,conversation,"CL:個|个[ge4],次[ci4]"
4883,會意,huìyì,,7,combined ideogram (one of the Six Methods 六書|六书[liu4 shu1] of forming Chinese characters),"Chinese character that combines the meanings of existing elements, also known as joint ideogram or associative compounds, to comprehend without being told explicitly, to cotton on, knowing (smile, glance etc)"
1251,會議,huìyì,,5,meeting,"conference, CL:場|场[chang3],屆|届[jie4]"
4877,迴,huíxiǎng,,7,to curve,"to return, to revolve"
1248,回想,huíxiǎng,,5,to recall,"to recollect, to think back"
196,河,hé,,2,river,"CL:條|条[tiao2],道[dao4]"
282,和,hé,,2,harmonious,old variant of 和[he2]
4822,核算,hésuàn,,7,to calculate,accounting
2650,合算,hésuàn,,6,worthwhile,"to be a good deal, to be a bargain, to reckon up, to calculate"
4841,壺,hú,,7,pot,classifier for bottled liquid
356,湖,hú,,3,lake,"CL:個|个[ge4],片[pian4]"
4827,狠,hěn,,7,ruthless,"fierce, ferocious, determined, to harden (one's heart), old variant of 很[hen3]"
63,很,hěn,,1,(adverb of degree),"quite, very, awfully"
2779,箭,jiàn,,6,arrow,CL:支[zhi1]
272,件,jiàn,,2,item,"component, classifier for events, things, clothes etc"
4974,濺,jiàn,,7,to splash,
4973,賤,jiàn,,7,inexpensive,lowly
2819,屆,jiè,,6,to arrive at (place or time),"period, to become due, classifier for events, meetings, elections, sporting fixtures, years (of graduation)"
580,借,jiè,,4,to insult,"to walk all over (sb), sleeping mat, to placate, variant of 借[jie4], surname Ji"
673,就,jiù,,4,at once,"right away, only, just (emphasis), as early as, already, as soon as, then, in that case, as many as, even if, to approach, to move towards, to undertake, to engage in, to suffer, subjected to, to accomplish, to take advantage of, to go with (of foods), with regard to, concerning"
795,舊,jiù,,4,old,"opposite: new 新, former, worn (with age)"
2768,兼,jiān,,6,double,"twice, simultaneous, holding two or more (official) posts at the same time"
4957,煎,jiān,,7,to pan fry,to sauté
2766,尖,jiān,,6,point (of needle),"sharp, shrewd, pointed"
579,交,jiāo,,4,to hand over,"to deliver, to pay (money), to turn over, to make friends, to intersect (lines), variant of 跤[jiao1]"
2789,澆,jiāo,,6,to pour liquid,"to irrigate (using waterwheel), to water, to cast (molten metal), to mold"
4996,焦急,jiāojí,,7,anxiety,anxious
4992,交集,jiāojí,,7,intersection (symbol ∩) (set theory),
4945,佳人,jiārén,,7,beautiful woman,
305,家人,jiārén,,3,household,(one's) family
389,接,jiē,,3,to receive,"to answer (the phone), to meet or welcome sb, to connect, to catch, to join, to extend, to take one's turn on duty, to take over for sb"
291,街,jiē,,3,street,CL:條|条[tiao2]
5007,皆,jiē,,7,all,"each and every, in all cases"
2803,接到,jiēdào,,6,to receive (letter etc),
2806,街道,jiēdào,,6,street,"subdistrict, residential district, CL:條|条[tiao2]"
1286,減,jiǎn,,5,to lower,"to decrease, to reduce, to subtract, to diminish"
2773,揀,jiǎn,,6,to choose,"to pick, to sort out, to pick up"
2774,撿,jiǎn,,6,to pick up,"to collect, to gather"
768,剪,jiǎn,,4,scissors,"shears, clippers, to cut with scissors, to trim, to wipe out or exterminate, surname Jian, CL:把[ba3]"
1304,角色,jiǎo,,5,role,"character in a novel, persona, also pr. [jiao3 se4]"
2797,繳,jiǎo,,6,to hand in,"to hand over, to seize"
34,九,jiǔ,,1,nine,9
278,酒,jiǔ,,2,wine (esp. rice wine),"liquor, spirits, alcoholic beverage, CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]"
381,久,jiǔ,,3,(long) time,(long) duration of time
2873,捲,juǎn,,6,to roll (up),"to sweep up, to carry on, roll"
2872,卷,juǎn,,6,to roll (up),"to sweep up, to carry on, roll"
388,寄,jì,,3,to send,"to mail, to entrust, to depend on, to attach oneself to, to live (in a house), to lodge, foster (son etc)"
1266,既,jì,,5,already,"since, both... (and...)"
4932,暨,jì,,7,and,"to reach to, the limits"
2835,浸,jìn,,6,to immerse,"to soak, to steep, gradually"
5045,勁,jìn,,7,strength,"energy, enthusiasm, spirit, mood, expression, interest, stalwart, sturdy, strong, powerful, CL:把[ba3]"
1322,盡,jìn,,5,to use up,"to exhaust, to end, to finish, to the utmost, exhausted, finished, to the limit (of sth), all, entirely"
251,進來,jìnlái,,2,to come in,
2829,近來,jìnlái,,6,recently,lately
4938,技藝,jìyì,,7,skill,art
1268,記憶,jìyì,,5,to remember,"to recall, memory, CL:個|个[ge4]"
1263,及,jí,,5,and,"to reach, up to, in time for"
2743,集,jí,,6,to gather,"to collect, collected works, classifier for sections of a TV series etc: episode"
4921,極力,jílì,,7,to make a supreme effort,at all costs
4914,吉利,jílì,,7,"Geely, Chinese car make","auspicious, lucky, propitious"
2739,及時,jíshí,,6,in time,"promptly, without delay, timely"
4918,即時,jíshí,,7,immediate,
4903,機動,jīdòng,,7,locomotive,"motorized, power-driven, adaptable, flexible (use, treatment, timing etc)"
1259,激動,jīdòng,,5,to move emotionally,"to stir up (emotions), to excite"
2840,經歷,jīnglì,,6,experience,"to experience, to go through, CL:個|个[ge4],次[ci4]"
2837,精力,jīnglì,,6,energy,
124,幾,jǐ,,1,almost,"how much, how many, several, a few"
1265,擠,jǐ,,5,to crowd in,"to cram in, to force others aside, to press, to squeeze, to find (time in one's busy schedule)"
2902,顆,kē,,6,"classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc",
1357,棵,kē,,5,"classifier for trees, cabbages, plants etc",
1364,渴望,kěwàng,,5,to thirst for,to long for
5149,可望,kěwàng,,7,can be expected (to),"to be expected (to), hopefully (happening)"
5250,廉潔,liánjié,,7,honest,"not coercive, honesty, integrity, incorruptible"
5246,連結,liánjié,,7,variant of 聯結|联结[lian2 jie2],
2976,倆,liǎng,,6,two (colloquial equivalent of 兩個|两个),"both, some"
37,兩,liǎng,,1,two,"both, some, a few, tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)"
5197,攔,lán,,7,to block sb's path,"to obstruct, to flag down (a taxi)"
5196,欄,lán,,7,fence,"railing, hurdle, column or box (of text or other data)"
259,累,lèi,,2,rope,"to bind together, to twist around, surname Lei"
1397,類,lèi,,5,kind,"type, class, category, similar, like, to resemble"
1396,淚,lèi,,5,tears,
2989,另,lìng,,6,other,"another, separate, separately"
1423,令,lìng,,5,classifier for a ream of paper,"to order, to command, an order, warrant, writ, to cause, to make sth happen, virtuous, honorific title, season, government position (old), see 令狐[Ling2 hu2], see 脊令[ji2 ling2]"
245,離,lí,,2,to leave,"to part from, to be away from, (in giving distances) from, without (sth), independent of, one of the Eight Trigrams 八卦[ba1 gua4], symbolizing fire, ☲, surname Li"
2959,梨,lí,,6,pear,CL:個|个[ge4]
5264,鈴,líng,,7,(small) bell,CL:隻|只[zhi1]
36,零,líng,,1,zero,"nought, zero sign, fractional, fragmentary, odd (of numbers), (placed between two numbers to indicate a smaller quantity followed by a larger one), fraction, (in mathematics) remainder (after division), extra, to wither and fall, to wither"
344,樓,lóu,,3,house with more than 1 story,"storied building, floor, surname Lou, CL:層|层[ceng2],座[zuo4],棟|栋[dong4]"
2995,嘍,lóu,,6,subordinates in gang of bandits,"(final particle equivalent to 了[le5]), (particle calling attention to, or mildly warning of, a situation)"
1404,裏面,lǐmiàn,,5,,
403,裡面,lǐmiàn,,3,inside,"interior, also pr. [li3 mian5]"
404,旅行,lǚxíng,,3,to travel,"journey, trip, CL:趟[tang4],次[ci4],個|个[ge4]"
5309,履行,lǚxíng,,7,to fulfill (one's obligations),"to carry out (a task), to implement (an agreement), to perform"
1439,嘛,ma,,5,modal particle indicating that sth is obvious,particle indicating a pause for emphasis
97,嗎,ma,,1,"(question particle for ""yes-no"" questions)","see 嗎啡|吗啡, morphine"
5314,邁,mài,,7,to take a step,to stride
165,賣,mài,,2,to sell,"to betray, to spare no effort, to show off or flaunt"
5330,枚,méi,,7,"classifier for coins, rings, badges, pearls, sporting medals, rockets, satellites etc","tree trunk, whip, wooden peg, used as a gag for marching soldiers (old), surname Mei"
3022,煤,méi,,6,coal,CL:塊|块[kuai4]
129,沒,méi,,1,(negative prefix for verbs),"have not, not, drowned, to end, to die, to inundate"
5400,募集,mùjí,,7,to raise,to collect
5398,目擊,mùjí,,7,to see with one's own eyes,to witness
723,南,nán,,4,south,surname Nan
120,難,nán,,1,difficult (to...),"problem, difficulty, difficult, not good, disaster, distress, to scold"
136,男,nán,,2,male,"Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4], CL:個|个[ge4]"
5406,男方,nánfāng,,7,the bridegroom's side,of the bridegroom's family
1483,南方,nánfāng,,5,south,"the southern part of the country, the South"
1515,騙子,piànzi,,5,swindler,a cheat
3131,片子,piànzi,,6,film,"movie, film reel, phonograph record, X-ray image, thin flake, small piece"
3127,偏,piān,,6,to lean,"to slant, oblique, prejudiced, to deviate from average, to stray from the intended line, stubbornly, contrary to expectations, left-hand side of a split Chinese character, often the key or radical"
1514,篇,piān,,5,sheet,"piece of writing, bound set of bamboo slips used for record keeping (old), classifier for written items: chapter, article"
3111,砲,pào,,6,variant of 炮[pao4],
3110,泡,pào,,6,puffed,"swollen, spongy, small lake (esp. in place names), classifier for urine or feces, bubble, foam, blister (i.e. skin bubble), to soak, to steep, to infuse, to dawdle, to shilly-shally, to hang about, to pick up (a girl), to get off with (a sexual partner), classifier for occurrences of an action, classifier for number of infusions"
3112,賠,péi,,6,to compensate for loss,"to indemnify, to suffer a financial loss"
1503,陪,péi,,5,to accompany,"to keep sb company, to assist, old variant of 賠|赔[pei2]"
274,瓶,píng,,2,variant of 瓶[ping2],
3137,憑,píng,,6,to lean against,"to rely on, on the basis of, no matter (how, what etc), proof"
